{'core': 1275658241, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 6}
{'core': 1342767172, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 2}
{'core': 6511689985, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 7, 'nodes': 7}
{'core': 6511821057, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 28, 'nodes': 400}
{'core': 6514278657, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 55}
{'core': 6517949570, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 9, 'nodes': 41}
{'core': 6577750784, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 29}
{'core': 6581387521, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 12, 'nodes': 104}
{'core': 17221845088, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 12, 'nodes': 38}
{'core': 38730240008, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 14}
{'core': 39192134156, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 32, 'nodes': 259}
{'core': 17188262946, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 17}
{'core': 38856557320, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 38, 'nodes': 395}
{'core': 1141539073, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 13, 'nodes': 13}
{'core': 1275660416, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 35, 'nodes': 215}
{'core': 1279854592, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 10}
{'core': 1378945024, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 94}
{'core': 38656970760, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 28, 'nodes': 211}
{'core': 51745654784, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 6}
{'core': 111946252292, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 34, 'nodes': 178}
