{'core': 201, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 44, 'nodes': 4515}
{'core': 221, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 124, 'nodes': 8660}
{'core': 56, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 2}
{'core': 70, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 22, 'nodes': 79}
{'core': 66, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 32, 'nodes': 141}
{'core': 142, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 216, 'nodes': 1076}
{'core': 156, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 102, 'nodes': 353}
{'core': 162, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 216, 'nodes': 602}
{'core': 171, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 216, 'nodes': 994}
{'core': 80, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 23, 'nodes': 23}
{'core': 26, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 73, 'nodes': 929}
{'core': 193, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 89, 'nodes': 878}
{'core': 95, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 25, 'nodes': 100}
{'core': 141, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 32, 'nodes': 83}
{'core': 160, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 32, 'nodes': 203}
{'core': 170, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 32, 'nodes': 72}
{'core': 64, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 117, 'nodes': 1233}
{'core': 124, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 51, 'nodes': 439}
{'core': 152, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 3, 'nodes': 23}
{'core': 187, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 36}
{'core': 222, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 51, 'nodes': 2963}
{'core': 94, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 155, 'nodes': 1282}
{'core': 100, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 48, 'nodes': 141}
{'core': 63, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 180, 'nodes': 691}
{'core': 36, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 256, 'nodes': 435}
{'core': 155, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 267, 'nodes': 689}
{'core': 195, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 216, 'nodes': 5620}
{'core': 76, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 54, 'nodes': 54}
{'core': 149, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 174, 'nodes': 2893}
{'core': 5, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 38, 'nodes': 444}
{'core': 6, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 38, 'nodes': 74}
{'core': 8, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 38, 'nodes': 77}
{'core': 49, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 43, 'nodes': 137}
{'core': 99, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 65, 'nodes': 230}
{'core': 21, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 28, 'nodes': 320}
{'core': 10, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 62, 'nodes': 225}
{'core': 136, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 83, 'nodes': 359}
{'core': 138, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 444, 'nodes': 1309}
{'core': 150, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 46, 'nodes': 62}
{'core': 13, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 34, 'nodes': 115}
{'core': 19, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 34, 'nodes': 278}
{'core': 103, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 129, 'nodes': 960}
{'core': 123, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 56, 'nodes': 398}
{'core': 65, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 53, 'nodes': 135}
{'core': 59, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 40}
{'core': 58, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 81, 'nodes': 268}
{'core': 93, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 108, 'nodes': 249}
{'core': 102, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 60, 'nodes': 217}
{'core': 133, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 612, 'nodes': 3208}
{'core': 15, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 89, 'nodes': 347}
{'core': 146, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 52}
{'core': 74, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 109, 'nodes': 191}
{'core': 147, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 106, 'nodes': 394}
{'core': 62, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 164, 'nodes': 705}
{'core': 131, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 145, 'nodes': 440}
{'core': 183, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 5, 'nodes': 87}
{'core': 182, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 38, 'nodes': 341}
{'core': 55, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 154, 'nodes': 486}
{'core': 92, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 144, 'nodes': 624}
{'core': 188, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 293, 'nodes': 10826}
{'core': 48, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 5, 'nodes': 20}
{'core': 45, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 88, 'nodes': 499}
{'core': 53, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 200, 'nodes': 360}
{'core': 148, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 223, 'nodes': 645}
{'core': 61, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 362, 'nodes': 797}
